"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-29 07:00:00" 572 3372 0 3610 12.7 10.7 0 0 1018 153.195 1.00082743037776 1.07277124174608 614.132882368657 684.416652438031 0.193899122329951
"2023-03-29 08:00:00" 657 3342 0 3611 12.8 19.9 0 0 1018.3 152.766 1.00363797046935 1.07521995064462 708.989440881046 683.333600361034 0.195113725192228
"2023-03-29 09:00:00" 632 3175 0 3615 13.2 23.6 0 0 1018.6 153.003 1.00208334605675 1.07767424896898 682.509071775334 682.16456169414 0.196434278191544
"2023-03-29 10:00:00" 660 3458 0 3616 13.9 27.4 0 0 1018.9 153.334 0.99992016249965 1.08013414947758 712.831623416249 679.955938418817 0.198956515906351
"2023-03-29 11:00:00" 632 3322 0 3615 14.3 28.7 0 0 1018.6 152.728 1.00388768396575 1.07767424896898 683.737988507945 679.324499189524 0.199684280500466
"2023-03-29 12:00:00" 652 3212 0 3618 13.9 27.9 0 0 1018.5 154.218 0.994188474735253 1.07685552769326 698.029475191106 678.941507997203 0.200127155444854
"2023-03-29 13:00:00" 652 3480 0 3610 13.9 25.8 0 0 1018.2 153.751 0.997208201551348 1.07440309392701 698.555132227572 678.391380472895 0.200765237216014
"2023-03-29 14:00:00" 618 3381 0 3612 14.1 25.4 0 0 1017.4 153.967 0.995809220136271 1.06789054133792 657.190622745261 678.796701830826 0.200294891288137
"2023-03-29 15:00:00" 659 3374 0 3615 14.1 25.9 0 0 1016.9 153.091 1.00150732699323 1.0638402576936 702.127472655308 677.376250052093 0.201948701540779
"2023-03-29 16:00:00" 644 3323 0 3615 14.3 25.4 0 0 1016.5 153.564 0.998422535208261 1.06061109412572 681.956083248756 676.158485129361 0.203378824553776
"2023-03-29 17:00:00" 600 3500 0 3613 14.1 24 0 0 1016.2 153.187 1.00087969734195 1.05819565547754 635.475928429758 674.256213523206 0.20563588131415
"2023-03-29 18:00:00" 634 3392 0 3617 12.9 20.2 0 0 1016.3 152.697 1.00409148966071 1.05900018986005 674.153171570905 674.341006840501 0.205534668741758
"2023-03-29 19:00:00" 626 3348 0 3612 13.2 17.2 0 0 1016.3 153.074 1.00161855179012 1.05900018986005 664.007112057191 672.509287138725 0.207733790080488
"2023-03-29 20:00:00" 610 3387 0 3610 13.3 15.5 0 0 1016.8 152.982 1.00222090309135 1.063032046257 649.889691822993 671.06750771267 0.209483704554756
"2023-03-29 21:00:00" 652 3308 0 3614 12.9 14.3 0 0 1017.2 152.751 1.00373652674432 1.06626858071744 697.804774604419 668.835650127873 0.212226076249634
"2023-03-29 22:00:00" 620 3477 0 3614 13.1 14.7 0 0 1017.5 152.981 1.00222745436833 1.06870244663427 664.071418191832 666.714306359335 0.214871156816196
"2023-03-29 23:00:00" 620 3336 0 3616 13 15 0 0 1017.5 152.771 1.00360512267853 1.06870244663427 664.984255037963 665.245519888802 0.216724992290975
"2023-03-30 00:00:00" 659 3368 0 3615 12.7 15 0 0 1017.8 152.408 1.00599547396935 1.07114186809631 710.114591176132 663.882886614167 0.218461529529275
"2023-03-30 01:00:00" 616 3446 0 3615 12.7 15 0 0 1017.7 152.449 1.00572491913178 1.07032810954397 663.096681272002 662.672775154199 0.220017342949935
"2023-03-30 02:00:00" 628 3289 0 3617 12.8 14.8 0 0 1017.3 152.338 1.0064577334396 1.06707925285518 674.453264391838 663.531237325453 0.218912305901469
"2023-03-30 03:00:00" 575 3255 0 3617 13.2 14.8 0 0 1017.2 153.039 1.0018476218266 1.06626858071744 614.237219046612 663.154792924412 0.219396073672291
"2023-03-30 04:00:00" 633 3335 0 3616 12.7 14.6 0 0 1017 152.744 1.00378252629708 1.06464908360436 676.472000899245 662.863927023045 0.21977072228901
